Name,Specialities,Locations,Areas of Focus
N/A,,,
N/A,,,
"Lauren R. Pudalov, Psy.D., ABPP",,"Jacksonville, FL",
N/A,,,
"Paul E. Pugsley, M.D.",,"Phoenix, AZ",
N/A,,,
"George Pujalte, M.D.",Sports Medicine Specialist,"Jacksonville, FL","Cast application, Injection, Ultrasound, Sprain, Strain, Tendinopathy, Arthritis"
N/A,,,
N/A,,,
"Christopher T. Pullins, M.D.",Family Physician,"Phoenix, AZ","Preventive care, Diabetes"
N/A,,,
N/A,,,
"Bridget P. Pulos, M.D.",,"Rochester, MN",
N/A,,,
"Nicholas A. Pulos, M.D.",Orthopedic Surgeon,"Rochester, MN","Joint replacement surgery, Clubhand reconstruction, Hypoplastic thumb reconstruction, Microvascular surgery, Wrist frac...ture treatment, Brachial plexus exploration, Vascularized bone grafting, Polydactyly reconstruction, Hand fracture treatment, Brachial plexus reconstruction, Syndactyly reconstruction, Brachial plexus surgery, Arthroscopy, Free muscle transfer, Wrist reconstruction, Trigger finger, Congenital hand deformity, Broken hand, Broken wrist, Avascular necrosis, Cerebral palsy, Clubhand, Wrist ligament injury, Nonunion, Nerve entrapment, Tendinitis, Pediatric hand trauma, Arthritis, Brachial plexus injury, Carpal tunnel syndrome, Hand mass"
N/A,,,
N/A,,,
"Surakit Pungpapong, M.D.",Transplant Hepatologist,"Jacksonville, FL","Liver transplant, Pre-transplant evaluation, Post-transplant long-term care, Hepatitis infectious disease, Hepatopulmon...ary syndrome, Portal hypertension, Hepatitis B, Cirrhosis, Liver cancer, Primary sclerosing cholangitis, Liver problems, Alcoholic hepatitis, Hepatocellular carcinoma, Nonalcoholic fatty liver disease, Cholangiocarcinoma, Primary biliary cholangitis"
N/A,,,
N/A,,,
"Nahid Punjani, M.D., M.P.H.",Urologist,"Phoenix, AZ","Penile rehabilitation, Penile implant insertion, Varicocelectomy, Testicular biopsy, Intralesional injection therapy, V...asectomy, Penile self-injection therapy, Doppler ultrasound, Vasectomy reversal, Sperm collection for fertility treatment, Sexual dysfunction, Kidney stone, Varicocele, Infertility, Hypogonadism, Hydrocele, Peyronie's disease, Erectile dysfunction, Phimosis, Spermatocele, Azoospermia"
N/A,,,
N/A,,,
"Nathan Punwani, M.D.",,"Phoenix, AZ",
N/A,,,
"Vincent S. Pureza, M.D., Ph.D.","Internist, Hospitalist","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
"Diana Purushotham, M.D.","Internist, Hospitalist","Rochester, MN","Congenital blood clotting disorder, Heart failure"
N/A,,,
N/A,,,
N/A,,,
"Ajeng J. Puspitasari, Ph.D., L.P.",,"Rochester, MN",
N/A,,,
"Jing Qian, Ph.D.",Medical Physicist,"Rochester, MN",
N/A,,,
N/A,,,
"Wenchun Qu, M.D., Ph.D.",Physiatrist,"Jacksonville, FL","Regenerative medicine therapy, Pain management, Ultrasound, Pain, Arthritis, Back pain, Neck pain"
N/A,,,
N/A,,,
"J. Fernando Quevedo, M.D.",Oncologist,"Rochester, MN",
N/A,,,
N/A,,,
"Quintin J. Quinones, M.D., Ph.D.",Critical Care Specialist,"Jacksonville, FL","Cardiogenic shock, Respiratory failure, Shock, ARDS, Sepsis"
N/A,,,
N/A,,,
"Alfredo Quinones-Hinojosa, M.D.",Neurosurgeon,"Jacksonville, FL","Stereotactic radiosurgery, Pituitary tumor surgery, Awake brain surgery, Brain tumor surgery, Spine tumor surgery, Radi...ation therapy, Chordoma, Spinal cord tumor, Brain tumor-associated epilepsy, Ependymoma, Chondrosarcoma, Meningioma, Glioma-associated epilepsy, Brain metastasis, Brain tumor, Glioblastoma, Pituitary tumor, Acoustic neuroma, Epilepsy, Glioma, Schwannoma"
N/A,,,
N/A,,,
"Reade A. Quinton, M.D.",Forensic Pathologist,"Rochester, MN",
N/A,,,
N/A,,,
"Onelis Quirindongo-Cedeno, M.D.",Internist,"Rochester, MN",
N/A,,,
N/A,,,
"Fawad Qureshi, M.D.",,"Rochester, MN",End-stage renal disease
N/A,,,
"M. Yasir Qureshi, M.B.B.S.",Pediatric Cardiologist,"Rochester, MN","Transesophageal echocardiogram, Transthoracic echocardiogram, Fetal echocardiogram, Dizziness, Congenital heart defects... in children, Atrial septal defect, Congenital heart defects in neonates and infants, Transposition of the great arteries, Hypoplastic left heart syndrome, Tetralogy of Fallot, Double-outlet right ventricle, Vascular ring, Fetal heart disease, POTS, Ventricular septal defect, Syncope, Truncus arteriosus, Coarctation of the aorta, Atrioventricular canal defect, Univentricular heart, Ebstein anomaly, Hypoplastic right heart syndrome, Congenital heart disease, Chest pain, Myocarditis"
N/A,,,
N/A,,,
"Ferenc Rabai, M.D.",Anesthesiologist,"Jacksonville, FL",
N/A,,,
N/A,,,
"Amy E. Rabatin, M.D.",Pediatric Physiatrist,"Rochester, MN","Spinal cord rehabilitation, Spasticity therapy, Neurological rehabilitation, Intramuscular injection, Physical examinat...ion, Cancer rehabilitation, Ultrasound-guided musculoskeletal injection, Inpatient rehabilitation , Pediatric rehabilitation, Exercise therapy, Joint examination, Amputation rehabilitation, Botox injection, Brain rehabilitation, Outpatient clinical consultation, Ultrasound, Musculoskeletal exam, Joint injection, Sport specific rehabilitation, Ultrasound-guided injection, Injection, Spinal cord injury, Plagiocephaly, Neuromuscular disorder, Juvenile arthritis, Traumatic brain injury, Inflammatory arthritis, Contracture, Arthritis, Acquired brain disorder, Back pain, Sacral agenesis, Sports injury, Joint hypermobility, Brain cancer, Hemiparesis, Spasticity, In-toeing, Dystonia, Brachial plexus injury, Concussion, Charcot-Marie-Tooth disease, Flatfeet, Neurologic muscle weakness, Neurodevelopmental disorder, Pediatric brain tumor, Pediatric hip disorders, Spina bifida, Gait disturbance, Angelman syndrome, Spinal muscular atrophy, Cerebral palsy, Brain tumor, Pediatric trauma, Foot drop, Neuropathy, Hemiplegia, Functional limitation, Gait unsteadiness, Cancer, Autoimmune neurological disorder, Muscle weakness, Muscular dystrophy"
N/A,,,
N/A,,,
"Jeffrey (Jeff) T. Rabatin, M.D.","Critical Care Specialist, Pulmonologist","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
"Alejandro A. Rabinstein, M.D.",Neurologist,"Rochester, MN","Stroke, Transient ischemic attack, Intracerebral hemorrhage, Headache, Guillain Barre syndrome, Subarachnoid hemorrhage..., Brain aneurysm, Cerebrovascular disease"
N/A,,,
N/A,,,
"Sandra J. Rackley, M.D., MAEdHD",Psychiatrist,"Rochester, MN",
N/A,,,
N/A,,,
"Nevenka Radakovic, M.D.",Neonatologist,"Rochester, MN",
N/A,,,
N/A,,,
"Luke C. Radel, M.D.","Pediatric Sports Medicine Specialist, Pediatrician","Rochester, MN","Vaginal specimen collection, Suturing, Suture removal, Wart treatment, Ultrasound, Concussion, Sports injury"
N/A,,,
N/A,,,
N/A,,,
"Misty A. Radosevich, M.D.",Anesthesiologist,"Rochester, MN","Intensive care, Ultrasound"
N/A,,,
N/A,,,
"Mohamed Y. Rady, M.B., B.Chir., M.D.","Neurologist, General Surgeon, Emergency Medicine Physician","Phoenix, AZ",Shock
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Laura E. Raffals, M.D.",Gastroenterologist,"Rochester, MN","Crohn's disease, Ulcerative colitis, Inflammatory bowel disease, Pouchitis"
N/A,,,
N/A,,,
"Christine V. Ragay-Cathers, D.O.",Family Physician,"Phoenix, AZ",
N/A,,,
N/A,,,
"Muhammad (Shafay) Raheel, M.B.B.S., M.D.",Internist,"Rochester, MN",
N/A,,,
N/A,,,
"Massimo Raimondo, M.D.",Gastroenterologist,"Jacksonville, FL","Endoscopic biopsy, Endoscopic ultrasound, Endoscopic full-thickness biopsy, Fine needle aspiration, Endoscopic mucosal ...resection, Colonoscopy, Upper endoscopy, Pancreatic cancer, Pancreatitis, Pancreatic neuroendocrine tumor, Colon polyps, Pancreatic insufficiency, Pancreatic cyst"
N/A,,,
N/A,,,
"Elizabeth Rajan, M.D.",Gastroenterologist,"Rochester, MN","Balloon assisted endoscopy, Capsule endoscopy, Endoscopic ultrasound, Upper endoscopy"
N/A,,,
N/A,,,
"Nipunie S. Rajapakse, M.D., M.P.H.",,"Rochester, MN","MRSA infection, Pneumonia, Endocarditis, Cellulitis, Osteomyelitis, General infectious diseases"
N/A,,,
"Prabhakar Rajiah, M.B.B.S., M.D.",Radiologist,"Rochester, MN",
N/A,,,
N/A,,,
"Tamim I. Rajjo, M.D., M.P.H.","Family Physician, Public Health and General Preventive Medicine Specialist","Rochester, MN","Preventive care, Obesity"
N/A,,,
N/A,,,
N/A,,,
"Anne W. Rajkumar, M.D.",Radiation Oncologist,"Rochester, MN","3D conformal radiotherapy, External beam radiation therapy, Stereotactic radiosurgery, Stereotactic body radiotherapy, ...Palliative radiotherapy, Intensity-modulated radiation therapy, VMAT, Radiation therapy, Bladder cancer, Kidney cancer, Cancer, Prostate cancer, Bone metastasis, Cancer of unknown origin, Cancer-related pain, Renal cell carcinoma, Testicular cancer, Penile cancer, Urethral cancer"
N/A,,,
N/A,,,
"S. Vincent Rajkumar, M.D.","Internist, Hematologist, Oncologist","Rochester, MN","Multiple myeloma, Amyloidosis, Monoclonal gammopathy of undetermined significance"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Harish Ramakrishna, M.D.","Echocardiographer, Anesthesiologist","Rochester, MN","Transesophageal echocardiogram, Heart transplant, Lung transplant, Heart failure"
N/A,,,
N/A,,,
N/A,,,
"Manasi Ramakrishnan, M.B.B.S., M.D.",,"Phoenix, AZ",
N/A,,,
"Vijay K. Ramanan, M.D., Ph.D.",Neurologist,"Rochester, MN","Normal pressure hydrocephalus, Frontotemporal dementia, Lewy body dementia, Dementia, Cognitive impairment, Alzheimer's... disease"
N/A,,,
N/A,,,
"Kannan Ramar, M.D.","Critical Care Specialist, Pulmonologist, Sleep Medicine Specialist","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Francisco C. Ramirez, M.D.","Internist, Gastroenterologist","Phoenix, AZ","Upper endoscopy, Colon cancer"
N/A,,,
N/A,,,
N/A,,,
"Mohammad Ranginwala, M.B.B.S.","Internist, Hematologist, Oncologist","Rochester, MN",Cancer
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Matthew A. Rank, M.D.","Pediatrician, Allergist-Immunologist, Internist","Phoenix, AZ","Immunotherapy, Environmental allergy, Food allergy, Asthma, Sinusitis, Hives and angioedema, Eosinophilic esophagitis, ...Insect bite allergy, Primary immunodeficiency, Drug allergy, Rhinitis"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Rohit R. Rao, M.D.",Hematologist / Oncologist,"Jacksonville, FL",Breast cancer
N/A,,,
N/A,,,
"Sarika N. Rao, D.O.",Endocrinologist,"Jacksonville, FL","Aldosteronoma, Adrenal insufficiency, Adrenal cancer, Multiple endocrine neoplasia type 2, MEN 1, Cushing syndrome, Par...aganglioma, Cancer, Thyroid nodule, Adrenal incidentaloma, Pheochromocytoma, Thyroid cancer, Parathyroid disease, Thyroid disease"
N/A,,,
N/A,,,
"Claire E. Raphael, M.B.B.S., Ph.D.",Interventional Cardiologist,"Rochester, MN","Atherectomy, Coronary physiology assessment, Coronary angiogram, Coronary angioplasty and stenting, Coronary artery spa...sm, Myocardial ischemia, Coronary artery disease, Coronary endothelial dysfunction, Heart attack"
N/A,,,
N/A,,,
"David Raslau, M.D., M.P.H.","Aerospace Medicine Specialist, Internist","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
"Keith G. Rasmussen, Jr., M.D.",Psychiatrist,"Rochester, MN",Electroconvulsive therapy
N/A,,,
N/A,,,
"Todd E. Rasmussen, M.D.",Vascular Surgeon,"Rochester, MN","Thoracic aortic aneurysm surgery, Varicose vein stripping, Inferior vena cava filter placement, Peripheral arterial ane...urysm repair, Thrombolysis, IVC filter removal, Endovascular reconstruction, Angiogram, Endovascular treatment, Thoracofemoral bypass, Angioplasty, Upper extremity bypass, Thoracic endovascular aneurysm repair , Femoral stenting, Thrombectomy, Carotid-carotid bypass, Carotid artery reconstruction, Carotid angioplasty and stenting, Aneurysm surgery, Mesenteric artery bypass, Peripheral vessel stenting, Femoral endarterectomy, Aortobifemoral bypass, Pseudoaneurysm repair, Aortic aneurysm repair, Axillobifemoral bypass, Femoral-popliteal bypass, Carotid endarterectomy, Arteriovenous malformation surgery, Aortoenteric fistula repair, Thoracoabdominal aneurysm surgery, Popliteal stenting, Transcarotid artery revascularization, Carotid-subclavian bypass, Endovascular aneurysm repair, Tibial angioplasty, Carotid angiogram, Thoracic outlet decompression, Thoracoabdominal aortic aneurysm repair, Varicose vein ablation, Popliteal-pedal bypass, Aortocaval fistula repair, Fistulogram, Femoral-tibial bypass, Renal artery bypass, Carotid artery aneurysm repair, Arteriovenous fistula surgery, Aortic ulcer, Deep vein thrombosis, Aortoiliac disease, Celiac artery dissection, SMA aneurysm, Mesenteric occlusion, Thoracic aortic aneurysm, Klippel-Trenaunay syndrome, Venous aneurysm, Thrombus, Thrombophlebitis, Popliteal aneurysm, Varicose vein, Carotid body tumor, Mesenteric ischemia, Carotid artery disease, Takayasu's arteritis, Arteriovenous malformation, Vascular anomaly, Venous insufficiency, Carotid artery dissection, SMA dissection, Thoracic outlet syndrome, Cerebrovascular disease, Venous malformation, Ehlers-Danlos syndrome, Kommerell diverticulum, Thoracoabdominal aortic aneurysm, Arterial aneurysm, Pseudoaneurysm, Peripheral artery disease, Aortic disorder, Renal artery stenosis, Aortic valve disease, Venous thrombosis, Vascular malformation, Venous disorder, Arteriosclerosis/atherosclerosis, Aortic dissection, Marfan syndrome, Nutcracker syndrome , Central vein stenosis, Abdominal aortic aneurysm, Critical limb ischemia, Median arcuate ligament syndrome, Arteriovenous fistula, Lymphedema, Aortic valve stenosis, Dysphagia lusoria, Claudication, Aneurysm, Vascular graft infection, Popliteal artery entrapment syndrome, Celiac artery aneurysm, Aortic aneurysm, Renal artery aneurysm, Aortoenteric fistula, Intestinal ischemia, Fibromuscular dysplasia"
N/A,,,
N/A,,,
"Sarah L. Rassier, M.D., M.P.H.",Gynecologist,"Rochester, MN","Hysterectomy, Radiofrequency ablation, Endometriosis surgery, Minimally invasive hysterectomy, Laparoscopic surgery, Mi...nimally invasive surgery, Myomectomy, Oophorectomy, Hysteroscopy, Tubal ligation, Heavy menstrual bleeding, Adenomyosis, Uterine polyps, Uterine fibroid, Endometriosis, Ovarian cyst"
N/A,,,
N/A,,,
"John T. Ratelle, M.D.","Internist, Hospitalist","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
"Tanya J. Rath, M.D.",Radiologist,"Phoenix, AZ","Myelogram, CT-guided biopsy, CT-guided aspiration, MRI, CT scan, Lumbar puncture"
N/A,,,
N/A,,,
"Basem M. Ratrout, M.D., M.H.A.",Internist,"Rochester, MN",
N/A,,,
N/A,,,
"Neha P. Raukar, M.D., M.S.",,"Rochester, MN",
N/A,,,
"Elizabeth L. Rauschenberger, M.D.",Family Physician,"Jacksonville, FL",
N/A,,,
N/A,,,
"Samine Ravanbakhsh, M.D.",Thoracic Surgeon,"Phoenix, AZ","Hiatal hernia repair, Chest reconstruction, Chest surgery, Pleurodesis, Thoracoscopy, Nissen fundoplication, Esophagect...omy, Robotic surgery, Minimally invasive surgery, Hyperhidrosis, Achalasia, Chest wall tumor, Lung cancer, Hiatal hernia, Mediastinal tumor, Esophageal cancer, Thoracic outlet syndrome, Gastroesophageal reflux disease"
N/A,,,
N/A,,,
"Anupama Ravi, M.D.","Pediatrician, Allergist-Immunologist","Rochester, MN","Immunotherapy, Chronic sinusitis, Asthma attack, Asthma, Hay fever, Allergy, Eosinophilic esophagitis, Childhood asthma..., Food allergy"
N/A,,,
N/A,,,
N/A,,,
"Karthik Ravi, M.D.","Internist, Gastroenterologist","Rochester, MN","Eosinophilic esophagitis, Gastroesophageal reflux disease, Achalasia, Esophageal spasms"
N/A,,,
N/A,,,
N/A,,,
"Jordan (Chris) C. Ray, M.D.",Cardiologist,"Jacksonville, FL",
N/A,,,
N/A,,,
"Mallory J. Raymond, M.D.",Otolaryngologist,"Jacksonville, FL","Lateral skull base surgery, Tympanoplasty, Stapedectomy, Superior canal dehiscence surgery, Acoustic neuroma surgery, F...acial nerve decompression, Bone-anchored hearing aid surgery, Ossicular chain reconstruction, Mastoidectomy, Middle ear surgery, Cochlear implant procedure, Middle ear reconstruction, Steroid injection, Middle ear tumor, Glomus tumor, Age-related hearing loss, Acoustic neuroma, CSF leak from ear , Pulsatile tinnitus, Sensorineural hearing loss, Eustachian tube dysfunction, Tympanic membrane retraction, Otosclerosis, Conductive hearing loss, Middle ear disease, Cholesteatoma, Encephalocele, Hearing loss, Temporal bone cancer, Middle ear infection, Temporal bone fracture, Superior semicircular canal dehiscence, Facial nerve tumor, Ruptured eardrum, Mastoiditis, CSF leak, Bell's palsy, Vestibular disorder, Meniere's disease, Facial nerve disorder"
N/A,,,
N/A,,,
"Gwendolyn L. Raynor, M.D.",Anesthesiologist,"Phoenix, AZ",
N/A,,,
N/A,,,
"Raymund R. Razonable, M.D.",Infectious Disease Specialist,"Rochester, MN",General infectious diseases
N/A,,,
N/A,,,
"Zayd A. Razouki, M.B., Ch.B., M.S.","Internist, Public Health and General Preventive Medicine Specialist","Rochester, MN",Integrative medicine
N/A,,,
N/A,,,
N/A,,,
"Robert F. Rea, M.D.","Cardiologist, Internist, Cardiac Electrophysiologist","Rochester, MN","Endocardial ablation, Pacemaker lead extraction, Implantable cardioverter-defibrillator insertion, Cardiac resynchroniz...ation therapy, Pacemaker insertion, Atrial fibrillation ablation, Cardiac ablation, AV node ablation, Cardiac resynchronization device insertion, ICD lead extraction, EP study, Atrial fibrillation, Ventricular arrhythmia, Heart arrhythmia, Sudden cardiac arrest"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Matthew (Matt) D. Read, M.D.","Critical Care Specialist, Anesthesiologist","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
"Paige S. Reasor, O.D.",Optometrist,"Phoenix, AZ","Eye exam, Eye care, Eye floaters, Eye infection, Eye problem, Eye injury"
N/A,,,
N/A,,,
"Alanna M. Rebecca, M.D.",Plastic Surgeon,"Phoenix, AZ","Reconstructive surgery, Microvascular surgery, Blepharoplasty, Facial filler injection, Skin cancer excision, Breast su...rgery, Breast reconstruction with breast implants, Microvascular reconstruction, Cancer treatment, Rhinoplasty, Vascularized lymph node transfer, Liposuction, Vascularized free fibula transfer, Tummy tuck, Laser resurfacing, Breast augmentation, Breast reconstruction, Lymphovenous bypass, Hernia repair, Breast reconstruction with flap surgery, Face lift, Skin graft surgery, Skin cancer reconstruction, Botox injection, Mohs surgery, Injection, Neurofibromatosis, Breast cancer-related lymphedema, Lymphedema, Burns, Facial injury, Facial deformity, Facial paralysis, Weight, Hernia, Facial skin cancer, Traumatic injury, Facial nerve disorder, Skin cancer"
N/A,,,
N/A,,,
"Karen L. Rech, M.D.",Pathologist,"Rochester, MN",
N/A,,,
N/A,,,
"Pedro A. Reck dos Santos, M.D.",Thoracic Surgeon,"Phoenix, AZ","Lung transplant, Lung volume reduction surgery, Chest surgery, Tracheal resection, Lung surgery, Extracorporeal membran...e oxygenation, Minimally invasive surgery, Tracheal stenosis, Chest infection, Chronic lung disease, Mediastinal tumor, Lung cancer"
N/A,,,
N/A,,,
"Kunam S. Reddy, M.B.B.S., M.D.","Transplant Surgeon, General Surgeon","Phoenix, AZ","Pancreas transplant, Living donor kidney transplant, Whipple procedure, Living donor liver transplant, Deceased donor k...idney transplant, Kidney transplant, Immunosuppressive drug therapy, Liver transplant, Portal hypertension"
N/A,,,
N/A,,,
N/A,,,
"Prajwal (Praj) Reddy, M.D.","Echocardiographer, Cardiologist","Jacksonville, FL","MRI cardiac stress test, Echocardiogram, Cardiac CT scan, Nuclear stress test, Cardiac MRI, Pericarditis, Constrictive ...pericarditis, Heart valve disease, Hypertrophic cardiomyopathy"
N/A,,,
N/A,,,
N/A,,,
"Satyajit T. Reddy, M.D.","Echocardiographer, Sports Medicine Specialist, Cardiologist","Phoenix, AZ","Cardiac rehabilitation, Echocardiogram, Stress echocardiogram, CPET, Electrocardiogram, Exercise stress test, Heart att...ack, Heart failure, Pericarditis, Heart arrhythmia, Heart valve disease, Coronary calcification, Myocarditis, Hypertrophic cardiomyopathy, Aortic disorder, Coronary artery disease"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Margaret M. Redfield, M.D.","Internist, Cardiologist","Rochester, MN","Brain natriuretic peptide test, Cardiac amyloidosis, Pulmonary hypertension, Cardiomyopathy, Heart failure"
N/A,,,
N/A,,,
N/A,,,
"Edward M. Reece, M.D., M.S.","Hand Surgeon, Plastic Surgeon","Phoenix, AZ","Hand surgery, Cosmetic surgery, Reconstructive surgery, Breast cancer surgery, Peripheral nerve graft, Spine reconstruc...tion, Spine deformity, Deformed nose, Schwannoma, Brachial plexus neuropathy, Breast cancer, Hand injury"
N/A,,,
N/A,,,
N/A,,,
"Darcy A. Reed, M.D., M.P.H.",Internist,"Rochester, MN",
N/A,,,
N/A,,,
"Craig B. Reeder, M.D.","Internist, Hematologist","Phoenix, AZ","Bone marrow transplant, Lymphoma, Multiple myeloma, Amyloidosis, Cutaneous t-cell lymphoma"
N/A,,,
N/A,,,
N/A,,,
"Guy S. Reeder, M.D.",Interventional Cardiologist,"Rochester, MN","Transesophageal echocardiogram, Pulmonary vein stenting, Patent foramen ovale closure, Atrial septal defect closure, Tr...ansthoracic echocardiogram, Transcatheter aortic valve replacement, Coronary artery stenting, Atrial septostomy, Atrial septal defect, Platypnea-orthodeoxia syndrome, Patent foramen ovale, Coronary artery disease, Heart valve disease, Aortic valve stenosis, Pulmonary vein stenosis, Acute coronary syndrome, Mitral valve regurgitation"
N/A,,,
N/A,,,
"Michael M. Reese, M.D.",Psychiatrist,"Rochester, MN","Mood disorder, Mental disorder"
N/A,,,
N/A,,,
"Ronald K. Reeves, M.D.",Physiatrist,"Rochester, MN","Spine procedure, Neurological rehabilitation, Intrathecal baclofen therapy, Intrathecal baclofen pump implantation, Dia...phragm pacing, Spasticity management for spinal cord injury, Spinal cord rehabilitation, Inpatient rehabilitation , Myopathy, Multiple sclerosis, Paraplegia, Quadriplegia, Quadriparesis, Cervical myelopathy, Demyelinating neuropathy, Guillain Barre syndrome, Cervical spondylotic myelopathy, Neurogenic bowel dysfunction, Neuromuscular disorder, Myelopathy, Neuropathy, Spinal cord injury, Diaphragm paralysis, Inflammatory myopathy, Spasticity, Neurogenic bladder dysfunction"
N/A,,,
N/A,,,
"Dennis W. Regan, M.D.",Internist,"Rochester, MN",
N/A,,,
N/A,,,
"Kent H. Rehfeldt, M.D.",Anesthesiologist,"Rochester, MN","Transcatheter aortic valve replacement, Minimally invasive heart surgery, Echocardiogram, Robotic surgery"
N/A,,,
N/A,,,
"Betzalel E. Reich, M.D.",,"Rochester, MN",
N/A,,,
"Bernadette M. Reidy, M.D.",Internist,"Phoenix, AZ",
N/A,,,
N/A,,,
"Christopher (Chris) J. Reisenauer, M.D.",,"Rochester, MN",Kidney biopsy
N/A,,,
"Janani S. Reisenauer, M.D.","Interventional Pulmonologist, Thoracic Surgeon","Rochester, MN","Minimally invasive surgery, Minimally invasive esophagectomy, Minimally invasive thymectomy, Transoral incisionless fun...doplication, Video mediastinoscopy, Esophageal reconstruction, VATS, Esophagectomy, Segmentectomy, Robotic surgery, Hyperhidrosis surgery, Lung volume reduction surgery, Supercharged jejunal interposition, VATS lobectomy, Thymectomy, Heller myotomy, Pneumothorax, Mediastinal tumor, Gastroesophageal reflux disease, Myasthenia gravis, Esophageal cancer, Hyperhidrosis, Thymic tumor, Lung cancer, Hiatal hernia, Achalasia, Mediastinal lymph node enlargement, Pancoast tumor"
N/A,,,
N/A,,,
N/A,,,
"William J. Remington, M.D.",Otolaryngologist,"Rochester, MN",
N/A,,,
N/A,,,
"Nicholas B. Remmes, Ph.D.",Radiation Oncology Medical Physicist,"Rochester, MN",Proton therapy
N/A,,,
N/A,,,
"Deborah L. Renaud, M.D.","Medical Geneticist, Neurologist, Pediatrician","Rochester, MN",Metabolic disorders
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"J. Ross Renew, M.D.",Anesthesiologist,"Jacksonville, FL","Transesophageal echocardiogram, General anesthesia administration"
N/A,,,
N/A,,,
"Kevin J. Renfree, M.D.",Orthopedic Surgeon,"Phoenix, AZ","Wrist arthroscopy, Wrist fracture treatment, Finger joint replacement, Arthroplasty, Wrist ligament reconstruction, Fin...ger fusion, Wrist fusion, Hand surgery, Finger reattachment, Arthroscopy, Elbow surgery, Wrist replacement, Finger ligament reconstruction, Wrist reconstruction, Hand arthritis, Elbow loose body, Broken elbow, Nerve compression syndrome, Elbow impingement, Nerve entrapment, Wrist pain, Wrist instability, Finger instability, Nerve irritation, Elbow instability, Hand injury, Tendon pain, Wrist ligament injury"
N/A,,,
N/A,,,
"Krystal M. Renszel, D.O.",Internist,"Phoenix, AZ",Infection control
N/A,,,
N/A,,,
"Steven W. Ressler, M.D.",Internist,"Phoenix, AZ",
N/A,,,
N/A,,,
"Evelyn A. Reynolds, M.D.","Gynecologist, Gynecologic Oncologist","Rochester, MN","Endometriosis surgery, Abdominal hysterectomy, Minimally invasive hysterectomy, Diagnostic hysteroscopy, Pelvic exenter...ation, Robotic surgery, Conization, Vaginal hysterectomy, Fertility sparing surgery, Hysteroscopy, Diagnostic laparoscopy, Gynecomastia surgery, Sentinel node biopsy, Vulvectomy, Minimally invasive surgical staging, Reconstructive surgery, Robotic hysterectomy, Vaginectomy, Debulking surgery, Ovarian remnant removal, Minimally invasive surgery, Cervical cancer, Cancer, Fallopian tube cancer, Adnexal tumors, Germ cell tumor, Uterine fibroid, Vulvar dysplasia, Peritoneal cancer, Gynecologic cancer, Cancer during pregnancy, Vaginal cancer, Endometriosis, Ovarian cyst, Endometrial cancer, Ovarian cancer, Cervical dysplasia, Ectopic pregnancy, Lower genital tract dysplasia, Ovarian remnant syndrome"
N/A,,,
N/A,,,
N/A,,,
"Jordan P. Reynolds, M.D.",Pathologist,"Jacksonville, FL",Fine needle aspiration
N/A,,,
N/A,,,
"Mohammed B. Reza, M.D.",,"Jacksonville, FL",
N/A,,,
"Laura S. Rhee, D.O.","Internist, Palliative Care Specialist","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
"Peter C. Rhee, D.O., M.S.","Hand Surgeon, Orthopedic Surgeon","Rochester, MN","Hand reconstruction, Microvascular surgery, Free muscle transfer, Wrist fracture treatment, Arthroscopy, Wrist reconstr...uction, Joint replacement surgery, Vascularized bone grafting, Brachial plexus injury, Nonunion, Nerve entrapment, Broken wrist, Hand arthritis, Broken hand, Quadriplegia, Avascular necrosis, Stroke, Elbow instability, Broken elbow, Cerebral palsy"
N/A,,,
N/A,,,
N/A,,,
"Edwin H. Rho, M.D.",Anesthesiologist,"Rochester, MN","Spinal headache, Headache"
N/A,,,
N/A,,,
"Richard H. Rho, M.D.",Anesthesiologist,"Rochester, MN, Phoenix, AZ","Trigger point injection, Lumbar sympathetic block, Medial branch block, Spine procedure, Spinal injection, Fluoroscopy-...guided biopsy, Sympathetic nerve block, Injection, Radiofrequency ablation, Cancer treatment, Epidural steroid injection, Nerve block, Ablation, Stellate ganglion block, Radiofrequency neurotomy, Epidural blood patch, Joint injection, Pain management, Celiac plexus block, Fluoroscopy, Chronic pain, Back pain, Neuropathic pain syndrome"
N/A,,,
N/A,,,
N/A,,,
"Deborah J. Rhodes, M.D.",,"Rochester, MN",
N/A,,,
"Nicholas G. Rhodes, M.D.",,"Rochester, MN",
N/A,,,
"Sarah C. Rhodes, M.D.",Pediatrician,"Rochester, MN",Preventive care
N/A,,,
N/A,,,
"Samy M. Riad, M.D.",,"Rochester, MN",
N/A,,,
